file,0.00-1.00,1.00-2.00,2.00-3.00,3.00-4.00,4.00-5.00,5.00-6.00,6.00-7.00,7.00-8.00,8.00-9.00,9.00-10.00
iperf3_result_20231019144724.txt,69.1Mbits/sec,51.4Mbits/sec,52.4Mbits/sec,52.4Mbits/sec,41.9Mbits/sec,41.9Mbits/sec,52.4Mbits/sec,42.0Mbits/sec,41.9Mbits/sec,41.9Mbits/sec
iperf3_result_20231019150037.txt,36.9Mbits/sec,37.0Mbits/sec,29.9Mbits/sec,31.5Mbits/sec,21.0Mbits/sec,42.0Mbits/sec,31.5Mbits/sec,41.9Mbits/sec,31.5Mbits/sec,41.9Mbits/sec
iperf3_result_20231019144651.txt,33.6Mbits/sec,41.9Mbits/sec,72.4Mbits/sec,73.4Mbits/sec,73.4Mbits/sec,73.4Mbits/sec,73.4Mbits/sec,62.9Mbits/sec,52.4Mbits/sec,62.9Mbits/sec
iperf3_result_20231019145229.txt,43.0Mbits/sec,41.2Mbits/sec,51.1Mbits/sec,41.9Mbits/sec,31.5Mbits/sec,41.9Mbits/sec,31.5Mbits/sec,31.5Mbits/sec,41.9Mbits/sec,31.5Mbits/sec
iperf3_result_20231019150342.txt,55.0Mbits/sec,40.4Mbits/sec,31.5Mbits/sec,31.5Mbits/sec,31.5Mbits/sec,41.9Mbits/sec,31.5Mbits/sec,31.5Mbits/sec,31.5Mbits/sec,41.9Mbits/sec
iperf3_result_20231019144901.txt,57.7Mbits/sec,30.4Mbits/sec,31.5Mbits/sec,31.5Mbits/sec,41.9Mbits/sec,31.5Mbits/sec,31.5Mbits/sec,41.9Mbits/sec,31.5Mbits/sec,41.9Mbits/sec
iperf3_result_20231019150009.txt,10.4Mbits/sec,15.1Mbits/sec,9.90Mbits/sec,17.2Mbits/sec,22.4Mbits/sec,26.6Mbits/sec,30.4Mbits/sec,21.0Mbits/sec,31.5Mbits/sec,94.4Mbits/sec
iperf3_result_20231019145404.txt,40.6Mbits/sec,72.6Mbits/sec,83.9Mbits/sec,83.9Mbits/sec,83.9Mbits/sec,83.9Mbits/sec,83.9Mbits/sec,73.4Mbits/sec,94.4Mbits/sec,73.4Mbits/sec
iperf3_result_20231019145558.txt,87.5Mbits/sec,92.8Mbits/sec,62.9Mbits/sec,83.9Mbits/sec,73.4Mbits/sec,94.4Mbits/sec,83.9Mbits/sec,83.9Mbits/sec,94.4Mbits/sec,83.6Mbits/sec
iperf3_result_20231019145955.txt,3.13Mbits/sec,4.69Mbits/sec,22.4Mbits/sec,29.7Mbits/sec,18.8Mbits/sec,31.8Mbits/sec,30.0Mbits/sec,10.5Mbits/sec,10.5Mbits/sec,0.00bits/sec
iperf3_result_20231019145010.txt,58.7Mbits/sec,41.0Mbits/sec,31.5Mbits/sec,31.5Mbits/sec,41.9Mbits/sec,31.5Mbits/sec,41.9Mbits/sec,41.9Mbits/sec,31.5Mbits/sec,31.5Mbits/sec
iperf3_result_20231019150353.txt,68.2Mbits/sec,31.5Mbits/sec,41.9Mbits/sec,41.9Mbits/sec,31.5Mbits/sec,31.5Mbits/sec,41.9Mbits/sec,21.0Mbits/sec,31.5Mbits/sec,41.9Mbits/sec
iperf3_result_20231019145548.txt,98.5Mbits/sec,73.4Mbits/sec,62.9Mbits/sec,83.9Mbits/sec,73.4Mbits/sec,83.9Mbits/sec,62.9Mbits/sec,73.4Mbits/sec,73.4Mbits/sec,83.9Mbits/sec
iperf3_result_20231019144736.txt,64.7Mbits/sec,61.1Mbits/sec,41.9Mbits/sec,52.4Mbits/sec,52.4Mbits/sec,41.9Mbits/sec,42.0Mbits/sec,41.9Mbits/sec,41.9Mbits/sec,41.9Mbits/sec
iperf3_result_20231019144911.txt,63.0Mbits/sec,39.7Mbits/sec,41.9Mbits/sec,41.9Mbits/sec,41.9Mbits/sec,21.0Mbits/sec,10.5Mbits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec
iperf3_result_20231019150232.txt,65.0Mbits/sec,52.4Mbits/sec,52.4Mbits/sec,52.4Mbits/sec,41.9Mbits/sec,41.9Mbits/sec,41.9Mbits/sec,31.5Mbits/sec,42.0Mbits/sec,62.9Mbits/sec
iperf3_result_20231019144938.txt,71.3Mbits/sec,41.9Mbits/sec,41.9Mbits/sec,41.9Mbits/sec,42.0Mbits/sec,41.9Mbits/sec,41.9Mbits/sec,41.9Mbits/sec,31.5Mbits/sec,31.5Mbits/sec
iperf3_result_20231019145415.txt,90.2Mbits/sec,83.9Mbits/sec,73.4Mbits/sec,83.9Mbits/sec,73.4Mbits/sec,83.9Mbits/sec,62.9Mbits/sec,83.9Mbits/sec,62.9Mbits/sec,52.4Mbits/sec
iperf3_result_20231019145944.txt,24.6Mbits/sec,22.9Mbits/sec,8.86Mbits/sec,36.5Mbits/sec,34.9Mbits/sec,28.1Mbits/sec,13.6Mbits/sec,20.3Mbits/sec,13.6Mbits/sec,6.78Mbits/sec
iperf3_result_20231019150146.txt,44.1Mbits/sec,39.1Mbits/sec,35.5Mbits/sec,35.4Mbits/sec,17.2Mbits/sec,0.00bits/sec,5.74Mbits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec
iperf3_result_20231019144641.txt,5.21Mbits/sec,5.21Mbits/sec,23.5Mbits/sec,14.1Mbits/sec,10.8Mbits/sec,18.4Mbits/sec,54.2Mbits/sec,52.1Mbits/sec,41.9Mbits/sec,62.9Mbits/sec
iperf3_result_20231019150218.txt,8.73Mbits/sec,7.30Mbits/sec,8.87Mbits/sec,10.4Mbits/sec,14.1Mbits/sec,16.2Mbits/sec,18.8Mbits/sec,21.9Mbits/sec,17.2Mbits/sec,83.2Mbits/sec
iperf3_result_20231019145629.txt,94.4Mbits/sec,62.9Mbits/sec,94.4Mbits/sec,83.9Mbits/sec,62.9Mbits/sec,94.4Mbits/sec,83.9Mbits/sec,83.9Mbits/sec,83.9Mbits/sec,83.9Mbits/sec
iperf3_result_20231019145826.txt,44.0Mbits/sec,21.4Mbits/sec,8.34Mbits/sec,8.87Mbits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec
